id,name,category,relative_path,bar_nums,packs
@ Special Drummers/Animal,Animal,@ Special Drummers,data/players/@ Special Drummers/Animal.jxp,1,
@ Special Drummers/James Stix,James Stix,@ Special Drummers,data/players/@ Special Drummers/James Stix.jxp,1,
@ Special Drummers/Machine,Machine,@ Special Drummers,data/players/@ Special Drummers/Machine.jxp,1,
@ Special Drummers/Silent,Silent,@ Special Drummers,data/players/@ Special Drummers/Silent.jxp,,
Breakbeat/Loopey,Loopey,Breakbeat,data/players/Breakbeat/Loopey.jxp,,
Eclectic/Carter,Carter,Eclectic,data/players/Eclectic/Carter.jxp,1,
Eclectic/Simon,Simon,Eclectic,data/players/Eclectic/Simon.jxp,,
Eclectic/Steve,Steve,Eclectic,data/players/Eclectic/Steve.jxp,1,
Funk/Chad,Chad,Funk,data/players/Funk/Chad.jxp,1,
Funk/Dave,Dave,Funk,data/players/Funk/Dave.jxp,,
Funk/Gari,Gari,Funk,data/players/Funk/Gari.jxp,,
Gospel/Aaron,Aaron,Gospel,data/players/Gospel/Aaron.jxp,1,
Jazz & Swing/Brush Player,Brush Player,Jazz & Swing,data/players/Jazz & Swing/Brush Player.jxp,,
Jazz & Swing/Peter,Peter,Jazz & Swing,data/players/Jazz & Swing/Peter.jxp,,
Latin/Latino,Latino,Latin,data/players/Latin/Latino.jxp,,
March/Marcher,Marcher,March,data/players/March/Marcher.jxp,,
Metal/Danny,Danny,Metal,data/players/Metal/Danny.jxp,,
Metal/Jason,Jason,Metal,data/players/Metal/Jason.jxp,,
Metal/Lars,Lars,Metal,data/players/Metal/Lars.jxp,,
Metal/Mike,Mike,Metal,data/players/Metal/Mike.jxp,,
Metal/Noah,Noah,Metal,data/players/Metal/Noah.jxp,,
Odd Time/Bill,Bill,Odd Time,data/players/Odd Time/Bill.jxp,,
Rock/Carmine,Carmine,Rock,data/players/Rock/Carmine.jxp,,
Rock/Charlie,Charlie,Rock,data/players/Rock/Charlie.jxp,1,
Rock/Darren,Darren,Rock,data/players/Rock/Darren.jxp,,
Rock/Gavin,Gavin,Rock,data/players/Rock/Gavin.jxp,,
Rock/John,John,Rock,data/players/Rock/John.jxp,1,
Rock/Keith,Keith,Rock,data/players/Rock/Keith.jxp,,
Rock/Mark,Mark,Rock,data/players/Rock/Mark.jxp,,
Rock/Mel,Mel,Rock,data/players/Rock/Mel.jxp,,
Rock/Neil,Neil,Rock,data/players/Rock/Neil.jxp,,
Rock/Nick,Nick,Rock,data/players/Rock/Nick.jxp,,
Rock/Phil,Phil,Rock,data/players/Rock/Phil.jxp,1,
Rock/Roger,Roger,Rock,data/players/Rock/Roger.jxp,1,
Rock/Star,Star,Rock,data/players/Rock/Star.jxp,,
Rock/Stewart,Stewart,Rock,data/players/Rock/Stewart.jxp,1,
Rock/Tony,Tony,Rock,data/players/Rock/Tony.jxp,1,
Rock/Will,Will,Rock,data/players/Rock/Will.jxp,,
@ Special Drummers/Silent,Silent,@ Special Drummers,data/players/Jamcussion/@ Special Drummers/Silent.jxp,,
Flamenco/Percy Dancer,Percy Dancer,Flamenco,data/players/Jamcussion/Flamenco/Percy Dancer.jxp,,
Standard Percussion/Handy,Handy,Standard Percussion,data/players/Jamcussion/Standard Percussion/Handy.jxp,,
Standard Percussion/Percy,Percy,Standard Percussion,data/players/Jamcussion/Standard Percussion/Percy.jxp,,
Udu Utar/Percy Udu,Percy Udu,Udu Utar,data/players/Jamcussion/Udu Utar/Percy Udu.jxp,,
