id,name,category,relative_path,info,packs
@ Special Styles/Freestyle,Freestyle,@ Special Styles,data/styles/@ Special Styles/Freestyle.jxs,,
@ Special Styles/Import,Import,@ Special Styles,data/styles/@ Special Styles/Import.jxs,,
@ Special Styles/Intro,Intro,@ Special Styles,data/styles/@ Special Styles/Intro.jxs,,
@ Special Styles/Jamstix Classic,Jamstix Classic,@ Special Styles,data/styles/@ Special Styles/Jamstix Classic.jxs,,
@ Special Styles/Silent,Silent,@ Special Styles,data/styles/@ Special Styles/Silent.jxs,,
@ Special Styles/Stop,Stop,@ Special Styles,data/styles/@ Special Styles/Stop.jxs,,
Afro-Cuban/Cha-cha-cha,Cha-cha-cha,Afro-Cuban,data/styles/Afro-Cuban/Cha-cha-cha.jxs,http://en.wikipedia.org/wiki/Cha-cha-cha_(music),
Afro-Cuban/Custom Latin,Custom Latin,Afro-Cuban,data/styles/Afro-Cuban/Custom Latin.jxs,,
Afro-Cuban/Mambo,Mambo,Afro-Cuban,data/styles/Afro-Cuban/Mambo.jxs,http://en.wikipedia.org/wiki/Mambo,
Afro-Cuban/Mozambique,Mozambique,Afro-Cuban,data/styles/Afro-Cuban/Mozambique.jxs,http://en.wikipedia.org/wiki/Mozambique_%28music%29,
Afro-Cuban/Rumba,Rumba,Afro-Cuban,data/styles/Afro-Cuban/Rumba.jxs,http://en.wikipedia.org/wiki/Rumba,
Afro-Cuban/Salsa,Salsa,Afro-Cuban,data/styles/Afro-Cuban/Salsa.jxs,http://en.wikipedia.org/wiki/Salsa_music,
Afro-Cuban/Songo,Songo,Afro-Cuban,data/styles/Afro-Cuban/Songo.jxs,http://en.wikipedia.org/wiki/Songo_music,
Blues/6/8 Blues,6/8 Blues,Blues,data/styles/Blues/6-8 Blues.jxs,http://en.wikipedia.org/wiki/Blues,
Blues/Blues Shuffle,Blues Shuffle,Blues,data/styles/Blues/Blues Shuffle.jxs,http://en.wikipedia.org/wiki/Blues,
Blues/Bo Diddley,Bo Diddley,Blues,data/styles/Blues/Bo Diddley.jxs,http://en.wikipedia.org/wiki/Bo_Diddley#The_Bo_Diddley_beat,
Blues/Freeway Shuffle,Freeway Shuffle,Blues,data/styles/Blues/Freeway Shuffle.jxs,http://en.wikipedia.org/wiki/Swing_music,
Blues/Purdie Shuffle,Purdie Shuffle,Blues,data/styles/Blues/Purdie Shuffle.jxs,http://en.wikipedia.org/wiki/Blues,
Blues/SiPhi Shuffle,SiPhi Shuffle,Blues,data/styles/Blues/SiPhi Shuffle.jxs,http://en.wikipedia.org/wiki/Swing_music,
